Date,Open,High,Low,Close,Adj Close,Volume
2017-01-24,56.849998,58.650002,56.849998,58.049999,57.087887,744410
2017-01-25,58.500000,59.099998,58.000000,58.150002,57.186234,545884
2017-01-26,58.799999,58.900002,57.750000,57.950001,56.989548,546534
2017-01-27,57.849998,58.099998,57.549999,57.950001,56.989548,315501
2017-01-30,57.849998,58.099998,56.750000,56.750000,55.809437,502288
2017-01-31,56.950001,58.400002,56.950001,57.700001,56.743690,853406
2017-02-01,57.599998,58.250000,57.349998,57.599998,56.645348,480109
2017-02-02,57.099998,60.750000,57.099998,59.750000,58.759712,1387913
2017-02-03,60.000000,61.200001,60.000000,61.000000,59.988995,832093
2017-02-06,61.000000,61.000000,59.799999,60.150002,59.153084,626676
2017-02-07,59.900002,60.799999,59.750000,60.400002,59.398941,458549
2017-02-08,60.400002,61.000000,59.950001,61.000000,59.988995,471868
2017-02-09,61.000000,61.150002,60.049999,60.950001,59.939823,495240
2017-02-10,61.200001,61.349998,60.500000,61.000000,59.988995,365077
2017-02-13,61.250000,62.500000,61.000000,62.450001,61.414967,457558
2017-02-14,62.450001,63.200001,61.799999,62.500000,61.464134,513178
2017-02-15,63.000000,63.000000,61.849998,61.849998,60.824909,432405
2017-02-16,62.200001,62.650002,61.599998,62.250000,61.218281,358496
2017-02-17,61.900002,62.349998,60.950001,61.450001,60.431541,458678
2017-02-20,61.700001,61.900002,61.049999,61.250000,60.234856,228412
2017-02-21,61.000000,62.400002,60.900002,61.900002,60.874081,379634
2017-02-22,62.299999,62.450001,61.549999,62.200001,61.169109,495553
2017-02-23,62.599998,62.950001,62.049999,62.099998,61.070763,408053
2017-02-24,62.150002,62.349998,61.099998,61.200001,60.185684,583180
2017-02-27,61.900002,62.400002,61.250000,62.099998,61.070763,381452
2017-02-28,62.099998,62.349998,61.500000,61.500000,60.480709,445805
2017-03-01,61.750000,62.750000,61.650002,62.599998,61.562477,488064
2017-03-02,62.549999,62.950001,62.299999,62.849998,61.808334,356117
2017-03-03,62.450001,62.750000,62.349998,62.700001,61.660820,323496
2017-03-06,62.450001,62.549999,61.400002,61.400002,60.382370,397794
2017-03-07,61.900002,62.250000,61.450001,62.049999,61.021595,477109
2017-03-08,61.599998,62.500000,61.549999,62.250000,61.218281,450784
2017-03-09,62.099998,62.299999,61.049999,61.700001,60.677395,490881
2017-03-10,62.000000,62.000000,61.400002,61.549999,60.529881,353787
2017-03-13,62.049999,62.450001,61.900002,62.450001,61.414967,503179
2017-03-14,62.099998,62.599998,61.650002,62.299999,61.267448,892394
2017-03-15,62.950001,63.250000,62.500000,62.950001,61.906677,713725
2017-03-16,63.849998,64.949997,63.450001,64.699997,63.627670,843653
2017-03-17,64.900002,64.949997,63.650002,63.750000,62.693417,908952
